pair,kind,n,win,avg,pf
RELIANCE_BPCL,stock,15,0.6666666666666666,0.02186122411931722,3.548217124288821
RELIANCE_ONGC,stock,18,0.6666666666666666,0.011195606177293475,2.737807181631286
SBI_AXIS,stock,26,0.6538461538461539,0.008903491600864523,1.769979639122
HDFC_KOTAK,stock,26,0.6538461538461539,0.008867010038502213,1.8779977262677994
ICICI_SBI,stock,22,0.5909090909090909,0.0068389516067734165,1.7582824552169525
MARUTI_MM,stock,16,0.8125,0.006502956969330807,1.5795732444133155
SUN_CIPLA,stock,13,0.6923076923076923,0.005410662979725478,1.510100249174445
TCS_INFY,stock,34,0.5588235294117647,0.005183147603729347,1.7125619625223865
Nifty_FinNifty,index,33,0.6666666666666666,0.004234709488232909,1.842506199026409
Nifty_BankNifty,index,38,0.631578947368421,0.003986039364610599,1.9072464151726338
